dataset,repetition,seed,model,train_rows,ngram_range,min_df,C,affect_weight,scope,subset,manipulation_category,rows,detected_misleading,missed_misleading,misleading_recall,mean_probability_misleading,median_probability_misleading,std_probability_misleading
liar2_finance,3,33,emotion_aware,2048,1-2,1,1.0,0.1,category,all,numerical,373,69,304,0.18498659517426275,0.4273127486565359,0.42310513536969385,0.08281276507244825
liar2_finance,3,33,emotion_aware,2048,1-2,1,1.0,0.1,category,all,sentiment,206,49,157,0.23786407766990292,0.44580098198830204,0.4454954058051793,0.07927088127947819
liar2_finance,3,33,emotion_aware,2048,1-2,1,1.0,0.1,subset_category,hard_case,causal,43,13,30,0.3023255813953488,0.4441023991908759,0.4336472449408597,0.09542123302393396
liar2_finance,3,33,emotion_aware,2048,1-2,1,1.0,0.1,subset_category,hard_case,flipping,7,3,4,0.42857142857142855,0.47296202518644825,0.47163235324713987,0.05954708500558567
liar2_finance,3,33,emotion_aware,2048,1-2,1,1.0,0.1,subset_category,hard_case,numerical,20,0,20,0.0,0.3542296698694506,0.3736951693321991,0.06455623435874777
liar2_finance,3,33,emotion_aware,2048,1-2,1,1.0,0.1,subset_category,hard_case,sentiment,53,9,44,0.16981132075471697,0.4345104280500291,0.43956645140448486,0.07747785905724688
liar2_finance,3,33,emotion_aware,2048,1-2,1,1.0,0.1,subset_category,main,causal,188,52,136,0.2765957446808511,0.4484904033885753,0.4518507698631046,0.07557620598149978
liar2_finance,3,33,emotion_aware,2048,1-2,1,1.0,0.1,subset_category,main,flipping,306,116,190,0.3790849673202614,0.46985370153918454,0.4705221187001053,0.07981750646914491
liar2_finance,3,33,emotion_aware,2048,1-2,1,1.0,0.1,subset_category,main,numerical,353,69,284,0.1954674220963173,0.4314534330070789,0.4259231096952402,0.08179625951230647
liar2_finance,3,33,emotion_aware,2048,1-2,1,1.0,0.1,subset_category,main,sentiment,153,40,113,0.26143790849673204,0.44971208890809594,0.44894706212416674,0.07950959605142449
liar2_finance,4,44,text_only,2048,1-2,1,10.0,,overall,all,all,1123,436,687,0.38824577025823687,0.44913119385087635,0.4404993017993807,0.19241277665736295
liar2_finance,4,44,text_only,2048,1-2,1,10.0,,overall_non_sentiment,all,non_sentiment,917,362,555,0.39476553980370777,0.45130409920864434,0.4404993017993807,0.19375742199149187
liar2_finance,4,44,text_only,2048,1-2,1,10.0,,subset,hard_case,all,123,36,87,0.2926829268292683,0.40116688066514505,0.3977647719957103,0.18718366279079818
liar2_finance,4,44,text_only,2048,1-2,1,10.0,,subset_non_sentiment,hard_case,non_sentiment,70,23,47,0.32857142857142857,0.41086691483496746,0.40327920807737216,0.1988118464425846
liar2_finance,4,44,text_only,2048,1-2,1,10.0,,subset,main,all,1000,400,600,0.4,0.4550308043727213,0.4445427354978,0.19222135591443748
liar2_finance,4,44,text_only,2048,1-2,1,10.0,,subset_non_sentiment,main,non_sentiment,847,339,508,0.4002361275088548,0.4546460152725846,0.4428084986419388,0.19295504154854679
liar2_finance,4,44,text_only,2048,1-2,1,10.0,,category,all,causal,231,115,116,0.49783549783549785,0.4954444127728251,0.493219122889388,0.19720122065679194
liar2_finance,4,44,text_only,2048,1-2,1,10.0,,category,all,flipping,313,113,200,0.3610223642172524,0.43660021347691313,0.4175188036430143,0.19045884889692336
liar2_finance,4,44,text_only,2048,1-2,1,10.0,,category,all,numerical,373,134,239,0.35924932975871315,0.4363065222668377,0.43173798911330563,0.19015424369326708
liar2_finance,4,44,text_only,2048,1-2,1,10.0,,category,all,sentiment,206,74,132,0.3592233009708738,0.4394586005835305,0.44055057284567756,0.1860016882201255
liar2_finance,4,44,text_only,2048,1-2,1,10.0,,subset_category,hard_case,causal,43,21,22,0.4883720930232558,0.47287236991200843,0.493219122889388,0.2067689723420564
liar2_finance,4,44,text_only,2048,1-2,1,10.0,,subset_category,hard_case,flipping,7,2,5,0.2857142857142857,0.41221103251665586,0.44601246151159657,0.14835499284563014
liar2_finance,4,44,text_only,2048,1-2,1,10.0,,subset_category,hard_case,numerical,20,0,20,0.0,0.2770847452307385,0.2679961172336646,0.11204517829769974
liar2_finance,4,44,text_only,2048,1-2,1,10.0,,subset_category,hard_case,sentiment,53,13,40,0.24528301886792453,0.38835551478047403,0.3665671742153583,0.16976810989318947
liar2_finance,4,44,text_only,2048,1-2,1,10.0,,subset_category,main,causal,188,94,94,0.5,0.5006071672569482,0.5032700222198518,0.1945792839392826
liar2_finance,4,44,text_only,2048,1-2,1,10.0,,subset_category,main,flipping,306,111,195,0.3627450980392157,0.4371581359171804,0.41589810158226737,0.19127725047683033
liar2_finance,4,44,text_only,2048,1-2,1,10.0,,subset_category,main,numerical,353,134,219,0.37960339943342775,0.44532758612157414,0.44288653212332213,0.1896793959279069
liar2_finance,4,44,text_only,2048,1-2,1,10.0,,subset_category,main,sentiment,153,61,92,0.39869281045751637,0.4571609767113867,0.45232315025842146,0.18809370659559915
liar2_finance,4,44,emotion_aware,2048,1-2,1,10.0,0.1,overall,all,all,1123,347,776,0.3089937666963491,0.4047309269713154,0.3842171565320107,0.18726376497333194
liar2_finance,4,44,emotion_aware,2048,1-2,1,10.0,0.1,overall_non_sentiment,all,non_sentiment,917,290,627,0.31624863685932386,0.40674504133090167,0.3842171565320107,0.18837384272212984
liar2_finance,4,44,emotion_aware,2048,1-2,1,10.0,0.1,subset,hard_case,all,123,27,96,0.21951219512195122,0.35589288816941994,0.3282348199815382,0.1861597755042091
