dataset,repetition,seed,fold,model,train_rows,test_rows,accuracy,balanced_accuracy,precision,recall,f1,macro_f1
liar2_finance,6,66,3,emotion_aware,1638,410,0.6609756097560976,0.6609756097560975,0.671875,0.6292682926829268,0.6498740554156172,0.6606344272349953
liar2_finance,6,66,4,text_only,1638,410,0.6463414634146342,0.6463414634146342,0.6415094339622641,0.6634146341463415,0.6522781774580336,0.6462383443121433
liar2_finance,6,66,4,emotion_aware,1638,410,0.6609756097560976,0.6609756097560976,0.6586538461538461,0.6682926829268293,0.6634382566585957,0.6609574575676271
liar2_finance,6,66,5,text_only,1640,408,0.6887254901960784,0.6887254901960784,0.6934673366834171,0.6764705882352942,0.684863523573201,0.6886787351522179
liar2_finance,6,66,5,emotion_aware,1640,408,0.6862745098039216,0.6862745098039216,0.7043010752688172,0.6421568627450981,0.6717948717948717,0.6856626941133983
liar2_finance,7,77,1,text_only,1638,410,0.651219512195122,0.6512195121951219,0.6648936170212766,0.6097560975609756,0.6361323155216285,0.6506188509692452
liar2_finance,7,77,1,emotion_aware,1638,410,0.6658536585365854,0.6658536585365853,0.6789473684210526,0.6292682926829268,0.6531645569620254,0.6654058078927774
liar2_finance,7,77,2,text_only,1638,410,0.6463414634146342,0.6463414634146342,0.6470588235294118,0.6439024390243903,0.6454767726161369,0.6463393595440782
liar2_finance,7,77,2,emotion_aware,1638,410,0.6634146341463415,0.6634146341463415,0.6700507614213198,0.6439024390243903,0.6567164179104478,0.6632864386202957
liar2_finance,7,77,3,text_only,1638,410,0.6536585365853659,0.6536585365853659,0.6507177033492823,0.6634146341463415,0.6570048309178744,0.6536255681682968
liar2_finance,7,77,3,emotion_aware,1638,410,0.6463414634146342,0.6463414634146342,0.6515151515151515,0.6292682926829268,0.6401985111662531,0.6462383443121433
liar2_finance,7,77,4,text_only,1638,410,0.6951219512195121,0.6951219512195121,0.6941747572815534,0.697560975609756,0.6958637469586375,0.6951201375379985
liar2_finance,7,77,4,emotion_aware,1638,410,0.6731707317073171,0.673170731707317,0.6666666666666666,0.6926829268292682,0.6794258373205742,0.6730462519936204
liar2_finance,7,77,5,text_only,1640,408,0.6078431372549019,0.607843137254902,0.6134020618556701,0.5833333333333334,0.5979899497487438,0.6076074150657594
liar2_finance,7,77,5,emotion_aware,1640,408,0.6225490196078431,0.6225490196078431,0.6302083333333334,0.5931372549019608,0.6111111111111112,0.6222222222222222
liar2_finance,8,88,1,text_only,1638,410,0.6560975609756098,0.6560975609756098,0.6538461538461539,0.6634146341463415,0.6585956416464891,0.6560791476045713
liar2_finance,8,88,1,emotion_aware,1638,410,0.6707317073170732,0.6707317073170732,0.675,0.6585365853658537,0.6666666666666666,0.6706827309236947
liar2_finance,8,88,2,text_only,1638,410,0.6170731707317073,0.6170731707317073,0.625,0.5853658536585366,0.6045340050377834,0.6166878063013976
liar2_finance,8,88,2,emotion_aware,1638,410,0.6634146341463415,0.6634146341463414,0.6850828729281768,0.6048780487804878,0.6424870466321243,0.6622573482008548
liar2_finance,8,88,3,text_only,1638,410,0.6292682926829268,0.6292682926829268,0.6232558139534884,0.6536585365853659,0.638095238095238,0.6290476190476191
liar2_finance,8,88,3,emotion_aware,1638,410,0.6536585365853659,0.6536585365853659,0.6567164179104478,0.6439024390243903,0.6502463054187192,0.6536255681682968
