dataset,repetition,seed,model,parameter_index,ngram_range,min_df,C,inner_macro_f1,inner_balanced_accuracy,selected
factors_finance,1,11,emotion_aware,10,1-2,2,0.1,0.5670243845148788,0.5670498084291187,False
factors_finance,1,11,emotion_aware,11,1-2,2,1.0,0.6110754278625408,0.6111111111111112,False
factors_finance,1,11,emotion_aware,12,1-2,2,10.0,0.6359939515833052,0.6360153256704981,True
factors_finance,2,22,text_only,1,1-1,1,0.1,0.6321623089683925,0.632183908045977,False
factors_finance,2,22,text_only,2,1-1,1,1.0,0.637929705706411,0.6379310344827587,False
factors_finance,2,22,text_only,3,1-1,1,10.0,0.6206896551724138,0.6206896551724138,False
factors_finance,2,22,text_only,4,1-1,2,0.1,0.647463002114165,0.6475095785440613,False
factors_finance,2,22,text_only,5,1-1,2,1.0,0.653224888882364,0.6532567049808429,True
factors_finance,2,22,text_only,6,1-1,2,10.0,0.6494240007633504,0.6494252873563218,False
factors_finance,2,22,text_only,7,1-2,1,0.1,0.6332584170470722,0.6340996168582376,False
factors_finance,2,22,text_only,8,1-2,1,1.0,0.63183801813186,0.632183908045977,False
factors_finance,2,22,text_only,9,1-2,1,10.0,0.6321353065539113,0.632183908045977,False
factors_finance,2,22,text_only,10,1-2,2,0.1,0.6414663978050312,0.6417624521072797,False
factors_finance,2,22,text_only,11,1-2,2,1.0,0.6319191444353038,0.632183908045977,False
factors_finance,2,22,text_only,12,1-2,2,10.0,0.6187725472781789,0.6187739463601533,False
factors_finance,2,22,emotion_aware,1,1-1,1,0.1,0.5816323529411764,0.5823754789272031,False
factors_finance,2,22,emotion_aware,2,1-1,1,1.0,0.629875640625287,0.6302681992337165,False
factors_finance,2,22,emotion_aware,3,1-1,1,10.0,0.6339370619357254,0.6340996168582376,False
factors_finance,2,22,emotion_aware,4,1-1,2,0.1,0.591160302255888,0.5919540229885057,False
factors_finance,2,22,emotion_aware,5,1-1,2,1.0,0.6301582581689629,0.6302681992337165,False
factors_finance,2,22,emotion_aware,6,1-1,2,10.0,0.637929705706411,0.6379310344827587,False
factors_finance,2,22,emotion_aware,7,1-2,1,0.1,0.5776512643982523,0.578544061302682,False
factors_finance,2,22,emotion_aware,8,1-2,1,1.0,0.6238529411764706,0.6245210727969348,False
factors_finance,2,22,emotion_aware,9,1-2,1,10.0,0.6454884858096277,0.6455938697318008,True
factors_finance,2,22,emotion_aware,10,1-2,2,0.1,0.5871757050529871,0.5881226053639848,False
factors_finance,2,22,emotion_aware,11,1-2,2,1.0,0.6392058823529412,0.6398467432950192,False
factors_finance,2,22,emotion_aware,12,1-2,2,10.0,0.6264244426094137,0.6264367816091954,False
factors_finance,3,33,text_only,1,1-1,1,0.1,0.5880485253363188,0.5881226053639846,False
factors_finance,3,33,text_only,2,1-1,1,1.0,0.5897432130685156,0.5900383141762452,False
factors_finance,3,33,text_only,3,1-1,1,10.0,0.5842530435771988,0.5842911877394636,False
factors_finance,3,33,text_only,4,1-1,2,0.1,0.5842164185952612,0.5842911877394636,False
factors_finance,3,33,text_only,5,1-1,2,1.0,0.5861825975894417,0.5862068965517242,False
factors_finance,3,33,text_only,6,1-1,2,10.0,0.5650558848899738,0.5651340996168582,False
factors_finance,3,33,text_only,7,1-2,1,0.1,0.5976066368108068,0.5977011494252873,False
factors_finance,3,33,text_only,8,1-2,1,1.0,0.610995473618132,0.6111111111111112,True
factors_finance,3,33,text_only,9,1-2,1,10.0,0.59958012031168,0.5996168582375478,False
factors_finance,3,33,text_only,10,1-2,2,0.1,0.5991917559102848,0.5996168582375478,False
factors_finance,3,33,text_only,11,1-2,2,1.0,0.5934878116872622,0.5938697318007663,False
