dataset,repetition,seed,model,scope,subset,manipulation_category,rows,misleading_recall,mean_probability_misleading
liar2_finance,8,88,text_only,overall,all,all,1123,0.43455031166518254,0.49149732463532864
liar2_finance,8,88,text_only,overall_non_sentiment,all,non_sentiment,917,0.4743729552889858,0.511365819645227
liar2_finance,8,88,text_only,subset,hard_case,all,123,0.3333333333333333,0.43473912157663486
liar2_finance,8,88,text_only,subset,main,all,1000,0.447,0.49847858361154795
liar2_finance,8,88,text_only,category,all,causal,231,0.2510822510822511,0.4096557248657916
liar2_finance,8,88,text_only,category,all,flipping,313,0.7603833865814696,0.6591840047424975
liar2_finance,8,88,text_only,category,all,numerical,373,0.3726541554959786,0.45031472033853504
liar2_finance,8,88,text_only,category,all,sentiment,206,0.25728155339805825,0.40305358713981015
liar2_finance,8,88,emotion_aware,overall,all,all,1123,0.5031166518254675,0.4939325791937054
liar2_finance,8,88,emotion_aware,overall_non_sentiment,all,non_sentiment,917,0.5398037077426391,0.5023878366892575
liar2_finance,8,88,emotion_aware,subset,hard_case,all,123,0.43902439024390244,0.473148433537018
liar2_finance,8,88,emotion_aware,subset,main,all,1000,0.511,0.496489029109478
liar2_finance,8,88,emotion_aware,category,all,causal,231,0.30735930735930733,0.4352392025324173
liar2_finance,8,88,emotion_aware,category,all,flipping,313,0.7859424920127795,0.5656000565225705
liar2_finance,8,88,emotion_aware,category,all,numerical,373,0.4772117962466488,0.4909291495107134
liar2_finance,8,88,emotion_aware,category,all,sentiment,206,0.33980582524271846,0.4562943698567094
liar2_finance,9,99,text_only,overall,all,all,1123,0.3107747105966162,0.38373319492181923
liar2_finance,9,99,text_only,overall_non_sentiment,all,non_sentiment,917,0.34242093784078514,0.40132601543318486
liar2_finance,9,99,text_only,subset,hard_case,all,123,0.2682926829268293,0.33525709590564173
liar2_finance,9,99,text_only,subset,main,all,1000,0.316,0.38969575510080906
liar2_finance,9,99,text_only,category,all,causal,231,0.2077922077922078,0.3167735409491506
liar2_finance,9,99,text_only,category,all,flipping,313,0.3610223642172524,0.4106739194462665
liar2_finance,9,99,text_only,category,all,numerical,373,0.4101876675603217,0.4458453925101751
liar2_finance,9,99,text_only,category,all,sentiment,206,0.16990291262135923,0.30541952303384695
liar2_finance,9,99,emotion_aware,overall,all,all,1123,0.5040071237756011,0.5053923137068005
liar2_finance,9,99,emotion_aware,overall_non_sentiment,all,non_sentiment,917,0.4961832061068702,0.504941264132897
liar2_finance,9,99,emotion_aware,subset,hard_case,all,123,0.4878048780487805,0.4990235814234106
liar2_finance,9,99,emotion_aware,subset,main,all,1000,0.506,0.5061756677776575
liar2_finance,9,99,emotion_aware,category,all,causal,231,0.47619047619047616,0.4861674332644516
liar2_finance,9,99,emotion_aware,category,all,flipping,313,0.48881789137380194,0.5111619969145559
liar2_finance,9,99,emotion_aware,category,all,numerical,373,0.514745308310992,0.5113478742400059
liar2_finance,9,99,emotion_aware,category,all,sentiment,206,0.5388349514563107,0.5074001411789829
