dataset,repetition,outer_seed,outer_fold,model,train_rows,test_rows,ngram_range,min_df,C,affect_weight,accuracy,balanced_accuracy,precision,recall,f1,macro_f1
factors_finance,1,11,5,text_only,418,104,1-1,2,0.1,,0.6057692307692307,0.6057692307692308,0.6078431372549019,0.5961538461538461,0.6019417475728155,0.6057327785483125
factors_finance,1,11,5,emotion_aware,418,104,1-1,2,0.1,0.05,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154
factors_finance,2,22,1,text_only,416,106,1-2,1,10.0,,0.6698113207547169,0.6698113207547169,0.6875,0.6226415094339622,0.6534653465346535,0.6690750156096691
factors_finance,2,22,1,emotion_aware,416,106,1-1,1,1.0,0.05,0.660377358490566,0.660377358490566,0.6808510638297872,0.6037735849056604,0.64,0.6592857142857143
factors_finance,2,22,2,text_only,418,104,1-2,1,10.0,,0.625,0.625,0.6140350877192983,0.6730769230769231,0.6422018348623854,0.6241312204614957
factors_finance,2,22,2,emotion_aware,418,104,1-2,1,1.0,0.05,0.6346153846153846,0.6346153846153846,0.625,0.6730769230769231,0.6481481481481481,0.634074074074074
factors_finance,2,22,3,text_only,418,104,1-1,1,0.1,,0.625,0.625,0.6382978723404256,0.5769230769230769,0.6060606060606061,0.6241312204614957
factors_finance,2,22,3,emotion_aware,418,104,1-2,2,0.1,0.05,0.625,0.625,0.6382978723404256,0.5769230769230769,0.6060606060606061,0.6241312204614957
factors_finance,2,22,4,text_only,418,104,1-2,1,0.1,,0.6153846153846154,0.6153846153846154,0.6428571428571429,0.5192307692307693,0.574468085106383,0.6117954460619635
factors_finance,2,22,4,emotion_aware,418,104,1-2,1,10.0,0.05,0.5961538461538461,0.5961538461538461,0.6041666666666666,0.5576923076923077,0.58,0.5955555555555556
factors_finance,2,22,5,text_only,418,104,1-1,1,0.1,,0.6057692307692307,0.6057692307692308,0.5932203389830508,0.6730769230769231,0.6306306306306306,0.6039751091297483
factors_finance,2,22,5,emotion_aware,418,104,1-2,1,10.0,0.05,0.625,0.625,0.6181818181818182,0.6538461538461539,0.6355140186915887,0.6246877024151013
