dataset,scope,subset,manipulation_category,metric,repetitions,text_only_mean,emotion_aware_mean,mean_difference,median_difference,std_difference,emotion_better_repetitions,text_better_repetitions,tied_repetitions
factors_finance,overall,all,all,mean_probability_misleading,10,0.4891635065612471,0.4538169848097973,-0.035346521751449846,-0.03190507049806396,0.026414682464537795,0,10,0
factors_finance,overall_non_sentiment,all,non_sentiment,misleading_recall,10,0.3948745910577972,0.31461286804798255,-0.08026172300981461,-0.08233369683751363,0.03358117644224694,0,10,0
factors_finance,overall_non_sentiment,all,non_sentiment,mean_probability_misleading,10,0.4896837113898732,0.4514897520621807,-0.03819395932769251,-0.035627223423339016,0.028570297054533865,0,10,0
factors_finance,subset,hard_case,all,misleading_recall,10,0.27967479674796747,0.25040650406504067,-0.029268292682926834,-0.02032520325203252,0.0639244786163383,3,6,1
factors_finance,subset,hard_case,all,mean_probability_misleading,10,0.4791247390389035,0.4355573887865609,-0.04356735025234261,-0.03903156460535559,0.03514804890271791,0,10,0
factors_finance,subset_non_sentiment,hard_case,non_sentiment,misleading_recall,10,0.2757142857142857,0.2028571428571429,-0.07285714285714284,-0.06428571428571425,0.05652443133609115,0,9,1
factors_finance,subset_non_sentiment,hard_case,non_sentiment,mean_probability_misleading,10,0.47843499125356576,0.4218707167473824,-0.056564274506183274,-0.052976171227136104,0.042582866228284555,0,10,0
factors_finance,subset,main,all,misleading_recall,10,0.4063,0.3328,-0.0735,-0.07350000000000001,0.02778588770501232,0,10,0
factors_finance,subset,main,all,mean_probability_misleading,10,0.49039827496649535,0.45606291512065533,-0.03433535984584004,-0.031028511722867108,0.02551662447892621,0,10,0
factors_finance,subset_non_sentiment,main,non_sentiment,misleading_recall,10,0.40472255017709563,0.323848878394333,-0.0808736717827627,-0.08087367178276267,0.03332034425423869,0,10,0
factors_finance,subset_non_sentiment,main,non_sentiment,mean_probability_misleading,10,0.49061335768213,0.4539376062204285,-0.03667575146170154,-0.03419342608418219,0.027510175991346794,0,10,0
factors_finance,category,all,causal,misleading_recall,10,0.3238095238095238,0.23896103896103896,-0.08484848484848484,-0.08008658008658007,0.035299012643972665,0,10,0
factors_finance,category,all,causal,mean_probability_misleading,10,0.4831375419878056,0.43311033102321417,-0.050027210964591395,-0.0451331710285901,0.036173913426318156,0,10,0
factors_finance,category,all,flipping,misleading_recall,10,0.44696485623003196,0.3616613418530351,-0.08530351437699682,-0.04632587859424919,0.08099389861990242,1,9,0
factors_finance,category,all,flipping,mean_probability_misleading,10,0.49293752217801057,0.4586588196405771,-0.0342787025374335,-0.02580780592513679,0.03518911898742539,0,10,0
factors_finance,category,all,numerical,misleading_recall,10,0.39517426273458445,0.3219839142091153,-0.07319034852546916,-0.06970509383378015,0.04315622989607429,0,10,0
factors_finance,category,all,numerical,mean_probability_misleading,10,0.4910073638166577,0.4568563153543071,-0.03415104846235056,-0.03282014701172578,0.020450067338394703,0,10,0
factors_finance,category,all,sentiment,misleading_recall,10,0.3815533980582524,0.3645631067961165,-0.016990291262135915,-0.021844660194174748,0.054789653570669936,3,7,0
factors_finance,category,all,sentiment,mean_probability_misleading,10,0.48684783749401384,0.4641765597105956,-0.022671277783418133,-0.013405634716280423,0.021811789314958117,0,10,0
factors_finance,subset_category,hard_case,causal,misleading_recall,10,0.27674418604651163,0.18372093023255814,-0.09302325581395349,-0.0930232558139535,0.06392411822663038,0,10,0
factors_finance,subset_category,hard_case,causal,mean_probability_misleading,10,0.4786011904806536,0.4200889637305617,-0.05851222675009179,-0.05252239879246523,0.044873584797665525,0,10,0
factors_finance,subset_category,hard_case,flipping,misleading_recall,10,0.09999999999999999,0.1714285714285714,0.07142857142857142,0.07142857142857142,0.12140522651411392,5,1,4
factors_finance,subset_category,hard_case,flipping,mean_probability_misleading,10,0.47042209497157117,0.42307791792355315,-0.04734417704801795,-0.04037289461517682,0.051844309038860295,3,7,0
factors_finance,subset_category,hard_case,numerical,misleading_recall,10,0.33499999999999996,0.255,-0.07999999999999999,-0.09999999999999998,0.05868938953886336,1,9,0
factors_finance,subset_category,hard_case,numerical,mean_probability_misleading,10,0.4808821766140249,0.425278965321887,-0.05560321129213782,-0.05836292877586435,0.03662256512229806,0,10,0
factors_finance,subset_category,hard_case,sentiment,misleading_recall,10,0.2849056603773585,0.31320754716981136,0.02830188679245284,0.0,0.09037803687547115,4,2,4
factors_finance,subset_category,hard_case,sentiment,mean_probability_misleading,10,0.4800357266799158,0.45363412544207976,-0.026401601237836102,-0.017966505188510812,0.027174836227997403,0,10,0
factors_finance,subset_category,main,causal,misleading_recall,10,0.33457446808510644,0.2515957446808511,-0.08297872340425531,-0.07446808510638299,0.03467207535200089,0,10,0
factors_finance,subset_category,main,causal,mean_probability_misleading,10,0.48417511174742023,0.4360886224784486,-0.04808648926897157,-0.043443081699618524,0.03422288096981835,0,10,0
factors_finance,subset_category,main,flipping,misleading_recall,10,0.4549019607843138,0.36601307189542487,-0.08888888888888888,-0.049019607843137275,0.08405182451863666,1,9,0
factors_finance,subset_category,main,flipping,mean_probability_misleading,10,0.4934525809703148,0.45947276183671815,-0.03397981913359664,-0.024754874183920667,0.034947640728010404,0,10,0
factors_finance,subset_category,main,numerical,misleading_recall,10,0.39858356940509915,0.32577903682719545,-0.07280453257790369,-0.06940509915014162,0.04329430038024163,0,10,0
factors_finance,subset_category,main,numerical,mean_probability_misleading,10,0.4915810288139739,0.45864540034197965,-0.032935628471994285,-0.031372963908941676,0.019572308690666073,0,10,0
factors_finance,subset_category,main,sentiment,misleading_recall,10,0.41503267973856206,0.3823529411764706,-0.032679738562091505,-0.02941176470588236,0.04528237405408829,2,8,0
factors_finance,subset_category,main,sentiment,mean_probability_misleading,10,0.4892075882988974,0.46782851406504883,-0.0213790742338485,-0.013126318676795729,0.020101747044570118,0,10,0
