dataset,scope,subset,manipulation_category,metric,repetitions,text_only_mean,emotion_aware_mean,mean_difference,median_difference,std_difference,emotion_better_repetitions,text_better_repetitions,tied_repetitions
factors_finance,overall,all,all,misleading_recall,10,0.3924309884238647,0.31772039180765804,-0.0747105966162066,-0.06322350845948355,0.026443835280852365,0,10,0
factors_finance,overall,all,all,mean_probability_misleading,10,0.4891635065612471,0.42378014075277626,-0.06538336580847084,-0.06765318080941005,0.018634343033227155,0,10,0
factors_finance,overall_non_sentiment,all,non_sentiment,misleading_recall,10,0.3948745910577972,0.3015267175572519,-0.09334787350054527,-0.08887677208287897,0.02348023169000962,0,10,0
factors_finance,overall_non_sentiment,all,non_sentiment,mean_probability_misleading,10,0.4896837113898732,0.4181776995647087,-0.07150601182516444,-0.07290968144823676,0.017337337519728116,0,10,0
factors_finance,subset,hard_case,all,misleading_recall,10,0.27967479674796747,0.29756097560975603,0.017886178861788605,0.02439024390243899,0.052939253971055956,8,2,0
factors_finance,subset,hard_case,all,mean_probability_misleading,10,0.4791247390389035,0.40668829666424217,-0.07243644237466138,-0.07238508769354499,0.030997858555329806,0,10,0
factors_finance,subset_non_sentiment,hard_case,non_sentiment,misleading_recall,10,0.2757142857142857,0.2542857142857143,-0.02142857142857143,-0.014285714285714263,0.05183700251685058,4,6,0
factors_finance,subset_non_sentiment,hard_case,non_sentiment,mean_probability_misleading,10,0.47843499125356576,0.3870667814224921,-0.09136820983107356,-0.08923405200356233,0.03180625580028889,0,10,0
factors_finance,subset,main,all,misleading_recall,10,0.4063,0.3202,-0.0861,-0.07749999999999999,0.024401502685968607,0,10,0
factors_finance,subset,main,all,mean_probability_misleading,10,0.49039827496649535,0.42588243757566613,-0.06451583739082938,-0.06707115626266147,0.017193599784743455,0,10,0
factors_finance,subset_non_sentiment,main,non_sentiment,misleading_recall,10,0.40472255017709563,0.30543093270365995,-0.09929161747343565,-0.09563164108618655,0.02255570529074575,0,10,0
factors_finance,subset_non_sentiment,main,non_sentiment,mean_probability_misleading,10,0.49061335768213,0.42074884982439614,-0.06986450785773388,-0.07156055991473867,0.016175992882132718,0,10,0
factors_finance,category,all,causal,misleading_recall,10,0.3238095238095238,0.2562770562770563,-0.06753246753246753,-0.05627705627705626,0.04457917025027333,0,10,0
factors_finance,category,all,causal,mean_probability_misleading,10,0.4831375419878056,0.39951158459294567,-0.08362595739486,-0.08493876005411036,0.028701216308642617,0,10,0
factors_finance,category,all,flipping,misleading_recall,10,0.44696485623003196,0.27731629392971247,-0.1696485623003195,-0.15335463258785945,0.03131968289623634,0,10,0
factors_finance,category,all,flipping,mean_probability_misleading,10,0.49293752217801057,0.41089465656993396,-0.08204286560807662,-0.08485502167191339,0.013385987220034477,0,10,0
factors_finance,category,all,numerical,misleading_recall,10,0.39517426273458445,0.34986595174262736,-0.04530831099195709,-0.026809651474530793,0.034063382818973885,0,10,0
factors_finance,category,all,numerical,mean_probability_misleading,10,0.4910073638166577,0.43584918754283697,-0.05515817627382069,-0.05803456391816236,0.014545034047626004,0,10,0
factors_finance,category,all,sentiment,misleading_recall,10,0.3815533980582524,0.38980582524271845,0.008252427184466022,0.01941747572815533,0.05410679989106037,7,3,0
factors_finance,category,all,sentiment,mean_probability_misleading,10,0.48684783749401384,0.44871916293461067,-0.038128674559403,-0.041902536913540456,0.025665206096407288,0,10,0
factors_finance,subset_category,hard_case,causal,misleading_recall,10,0.27674418604651163,0.24651162790697673,-0.030232558139534887,-0.023255813953488372,0.06108802575145904,3,6,1
factors_finance,subset_category,hard_case,causal,mean_probability_misleading,10,0.4786011904806536,0.3940959818703977,-0.08450520861025587,-0.08870546161332737,0.036001411027485594,0,10,0
factors_finance,subset_category,hard_case,flipping,misleading_recall,10,0.09999999999999999,0.2571428571428571,0.1571428571428571,0.14285714285714285,0.14206127514453615,8,1,1
factors_finance,subset_category,hard_case,flipping,mean_probability_misleading,10,0.47042209497157117,0.36322015138903974,-0.10720194358253136,-0.09825472910788838,0.04234370760065201,0,10,0
factors_finance,subset_category,hard_case,numerical,misleading_recall,10,0.33499999999999996,0.27,-0.06499999999999999,-0.07499999999999998,0.05797509043642028,1,8,1
factors_finance,subset_category,hard_case,numerical,mean_probability_misleading,10,0.4808821766140249,0.3803003209712036,-0.1005818556428213,-0.09977540881808292,0.023896029586212494,0,10,0
factors_finance,subset_category,hard_case,sentiment,misleading_recall,10,0.2849056603773585,0.3547169811320755,0.06981132075471698,0.07547169811320753,0.06599279692867761,7,1,2
