dataset,repetition,seed,model,classifier,representation,C,affect_weight,accuracy,balanced_accuracy,precision,recall,f1,macro_f1
liar2_finance,10,110,text_only,logistic_regression,word_char,0.1,,0.6470588235294118,0.6470588235294117,0.6630434782608695,0.5980392156862745,0.6288659793814433,0.6462086906253011
liar2_finance,10,110,emotion_aware,logistic_regression,word_char,0.1,0.25,0.6617647058823529,0.661764705882353,0.6941176470588235,0.5784313725490197,0.6310160427807486,0.6593994241053065
factors_finance,1,11,text_only,logistic_regression,word,1.0,,0.7115384615384616,0.7115384615384615,0.7037037037037037,0.7307692307692307,0.7169811320754716,0.7114317425083241
factors_finance,1,11,emotion_aware,logistic_regression,word,0.1,0.05,0.7115384615384616,0.7115384615384615,0.7037037037037037,0.7307692307692307,0.7169811320754716,0.7114317425083241
factors_finance,2,22,text_only,logistic_regression,word_char,10.0,,0.5961538461538461,0.5961538461538461,0.631578947368421,0.46153846153846156,0.5333333333333333,0.5887005649717514
factors_finance,2,22,emotion_aware,linear_svm,word_char,10.0,0.5,0.5192307692307693,0.5192307692307692,0.52,0.5,0.5098039215686274,0.5190529041805401
factors_finance,3,33,text_only,logistic_regression,word_char,0.1,,0.6923076923076923,0.6923076923076923,0.7083333333333334,0.6538461538461539,0.68,0.6918518518518519
factors_finance,3,33,emotion_aware,logistic_regression,word_char,0.1,0.05,0.6730769230769231,0.6730769230769231,0.68,0.6538461538461539,0.6666666666666666,0.6729559748427673
factors_finance,4,44,text_only,linear_svm,word,10.0,,0.5961538461538461,0.5961538461538461,0.5925925925925926,0.6153846153846154,0.6037735849056604,0.5960044395116537
factors_finance,4,44,emotion_aware,linear_svm,word,10.0,0.05,0.6346153846153846,0.6346153846153846,0.64,0.6153846153846154,0.6274509803921569,0.6344802071772104
factors_finance,5,55,text_only,logistic_regression,word,1.0,,0.5769230769230769,0.5769230769230769,0.5714285714285714,0.6153846153846154,0.5925925925925926,0.5762962962962963
factors_finance,5,55,emotion_aware,logistic_regression,word_char,10.0,0.5,0.5576923076923077,0.5576923076923077,0.5555555555555556,0.5769230769230769,0.5660377358490566,0.557528671846097
factors_finance,6,66,text_only,logistic_regression,word,0.1,,0.5576923076923077,0.5576923076923077,0.5652173913043478,0.5,0.5306122448979592,0.5562152133580704
factors_finance,6,66,emotion_aware,logistic_regression,word,0.1,0.05,0.6153846153846154,0.6153846153846154,0.625,0.5769230769230769,0.6,0.6148148148148148
factors_finance,7,77,text_only,logistic_regression,word_char,1.0,,0.6153846153846154,0.6153846153846154,0.6071428571428571,0.6538461538461539,0.6296296296296297,0.6148148148148148
factors_finance,7,77,emotion_aware,linear_svm,word_char,10.0,1.0,0.5384615384615384,0.5384615384615385,0.5333333333333333,0.6153846153846154,0.5714285714285714,0.5357142857142857
factors_finance,8,88,text_only,logistic_regression,word_char,0.1,,0.6538461538461539,0.6538461538461537,0.6333333333333333,0.7307692307692307,0.6785714285714286,0.6517857142857143
factors_finance,8,88,emotion_aware,logistic_regression,word,1.0,0.25,0.7307692307692307,0.7307692307692307,0.7307692307692307,0.7307692307692307,0.7307692307692307,0.7307692307692307
factors_finance,9,99,text_only,logistic_regression,word,0.1,,0.5769230769230769,0.5769230769230769,0.5909090909090909,0.5,0.5416666666666666,0.5744047619047619
factors_finance,9,99,emotion_aware,linear_svm,word,0.1,1.0,0.6346153846153846,0.6346153846153846,0.64,0.6153846153846154,0.6274509803921569,0.6344802071772104
factors_finance,10,110,text_only,logistic_regression,word_char,10.0,,0.6153846153846154,0.6153846153846154,0.6,0.6923076923076923,0.6428571428571429,0.6130952380952381
factors_finance,10,110,emotion_aware,linear_svm,word_char,1.0,0.05,0.6538461538461539,0.6538461538461539,0.6428571428571429,0.6923076923076923,0.6666666666666666,0.6533333333333333
