dataset,classifier,representation,C,affect_weight,model_variant,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,precision_mean,recall_mean,f1_mean,folds,rank_within_dataset
liar2_finance,linear_svm,word,0.1,0.5,emotion_aware,0.6536299960965832,0.026393513458493906,0.6541351825282959,0.026018871037587512,0.6541351825282959,0.6625765040427856,0.6279371911366172,0.6442801111910726,15,26
liar2_finance,linear_svm,word,0.1,1.0,emotion_aware,0.6534862371173755,0.02509605059026081,0.6539765662362506,0.02475097586794558,0.6539765662362507,0.6621693085594563,0.6285907859078591,0.6444287146460632,15,27
liar2_finance,logistic_regression,word,1.0,0.0,text_only,0.6527743466893984,0.02711814188971901,0.6529945799457995,0.027153709651998256,0.6529945799457995,0.6561814798498146,0.6438817152877411,0.6495923884026636,15,28
liar2_finance,logistic_regression,word_char,0.1,0.0,text_only,0.6525381782074275,0.023275090947660403,0.6528303841861949,0.023441471343560248,0.6528303841861949,0.6553227683455706,0.647463733460864,0.6507916442109916,15,29
liar2_finance,logistic_regression,word,0.1,0.0,text_only,0.6500519479104706,0.026465544854734253,0.6502327435039057,0.02648668316054567,0.6502327435039057,0.6513404031656402,0.6474669217280408,0.6490612431233624,15,30
liar2_finance,logistic_regression,word,10.0,0.5,emotion_aware,0.6492043931771135,0.016906519309294248,0.6494229236410011,0.016921553874302345,0.6494229236410012,0.6524877333712117,0.640302885381795,0.6459680084201864,15,31
liar2_finance,logistic_regression,word_char,0.1,0.5,emotion_aware,0.6490998609105904,0.023926789008011155,0.6494173441734417,0.023736592933830417,0.6494173441734418,0.6565628816534133,0.6259875657580106,0.6406790638585295,15,32
liar2_finance,logistic_regression,word,10.0,1.0,emotion_aware,0.6488874348547817,0.01751331899590661,0.6490985174557627,0.01750891404075,0.6490985174557627,0.6520162093408118,0.6403044795153835,0.6457511049829513,15,33
liar2_finance,logistic_regression,word,10.0,0.25,emotion_aware,0.6488683015095581,0.016623714122465803,0.6490961262553802,0.0166612892740691,0.6490961262553802,0.6521831610259226,0.6399760879961741,0.645632601217758,15,34
liar2_finance,logistic_regression,word,10.0,0.05,emotion_aware,0.6488367782686668,0.018565374107848354,0.649095329188586,0.018643646737696067,0.649095329188586,0.651684004319065,0.6419273075083692,0.6463019534368757,15,35
liar2_finance,logistic_regression,word,10.0,0.1,emotion_aware,0.6485130209063213,0.018674277646248048,0.6487709230033476,0.018716086919570003,0.6487709230033477,0.6519132647270602,0.6399792762633508,0.6454417372115894,15,36
liar2_finance,logistic_regression,word_char,10.0,0.25,emotion_aware,0.6472094787652021,0.025160821853504167,0.6474446038578032,0.02515986992168474,0.6474446038578032,0.650715019926318,0.636373346086402,0.6430944535029465,15,37
liar2_finance,logistic_regression,word_char,10.0,0.1,emotion_aware,0.6465701343456925,0.025743056862074457,0.6468005738880918,0.025765293022077508,0.6468005738880919,0.6501675696768273,0.6354009245974813,0.6423414335747925,15,38
liar2_finance,logistic_regression,word_char,10.0,1.0,emotion_aware,0.646227657417687,0.025335253177984827,0.6464729794356767,0.025322175777265466,0.6464729794356767,0.650117627991987,0.6344237207077953,0.6417992295329012,15,39
liar2_finance,logistic_regression,word_char,10.0,0.5,emotion_aware,0.6460679966013955,0.025777647374732218,0.6463087836760721,0.025756038343930813,0.6463087836760721,0.649753396887706,0.6347473298262395,0.6417913065436414,15,40
liar2_finance,logistic_regression,word_char,10.0,0.0,text_only,0.6455995249254639,0.02677322534816623,0.6458297465327595,0.02679725013716796,0.6458297465327595,0.6493242832691933,0.6337796907380838,0.6411071785892379,15,41
liar2_finance,linear_svm,word,1.0,0.1,emotion_aware,0.6447540662239607,0.015060974484996211,0.6450271002710027,0.015115207913378828,0.6450271002710027,0.6481766104081153,0.6357404750518093,0.6414307330104119,15,42
liar2_finance,linear_svm,word,1.0,0.25,emotion_aware,0.6442926379723912,0.01710514665160683,0.6445416865933365,0.01723328229985648,0.6445416865933365,0.6482531559156288,0.6337956320739678,0.6405271585287913,15,43
liar2_finance,linear_svm,word,1.0,0.5,emotion_aware,0.6439361937746502,0.01763030232453275,0.6442172804080982,0.01775993596380782,0.6442172804080982,0.6479806538155193,0.6334720229555236,0.6401659832663373,15,44
liar2_finance,linear_svm,word,1.0,1.0,emotion_aware,0.6437665100968427,0.01775396403631876,0.6440546787820819,0.01786955379213822,0.6440546787820819,0.6478525487693815,0.6331468197034912,0.639927120572428,15,45
liar2_finance,logistic_regression,word_char,10.0,0.05,emotion_aware,0.643640419809015,0.024721952003552646,0.6438705563526224,0.024791926419519376,0.6438705563526224,0.6470604668309998,0.6331181252989,0.6396464958527821,15,46
liar2_finance,logistic_regression,word,10.0,0.0,text_only,0.643560330624852,0.020034985619668183,0.643880918220947,0.02006460236744113,0.643880918220947,0.6468493212011652,0.6357404750518093,0.6406902047366538,15,47
liar2_finance,linear_svm,word,1.0,0.0,text_only,0.6407975095814321,0.020191299350769226,0.6411174876454647,0.020195157770063747,0.6411174876454647,0.6443102881110956,0.6318316594930654,0.6374876431771067,15,48
liar2_finance,logistic_regression,word_char,0.1,1.0,emotion_aware,0.6407618400179749,0.028762092264722164,0.6411198788458473,0.028616509936347307,0.6411198788458473,0.6484029495628246,0.6162187151283278,0.6316509645290906,15,49
liar2_finance,linear_svm,word,1.0,0.05,emotion_aware,0.6406381272501979,0.017457965930549647,0.6409564801530367,0.017470974797986323,0.6409564801530369,0.644166264709052,0.6311780647218236,0.637078334686269,15,50
liar2_finance,linear_svm,word_char,1.0,0.0,text_only,0.6405694517927153,0.027554260765844517,0.640775545990754,0.02760618423337382,0.640775545990754,0.6440950304074289,0.6295424836601308,0.6364213570938415,15,51
liar2_finance,linear_svm,word_char,1.0,0.5,emotion_aware,0.640009291837025,0.028139270344236026,0.64028295871194,0.028061900287897748,0.64028295871194,0.6443200516166586,0.6256193208990913,0.6344726557364624,15,52
liar2_finance,linear_svm,word_char,1.0,1.0,emotion_aware,0.6395244428213671,0.027899293163187917,0.6397951538338913,0.027814722258878797,0.6397951538338913,0.6438685345838677,0.6249689143950263,0.6339295202023448,15,53
liar2_finance,linear_svm,word_char,1.0,0.1,emotion_aware,0.6391845368484381,0.02628463180426624,0.639470747648653,0.026215433731954715,0.639470747648653,0.6429409077838952,0.626268133269568,0.6340882106959022,15,54
