dataset,repetition,outer_seed,outer_fold,model,parameter_index,ngram_range,min_df,C,affect_weight,inner_macro_f1,inner_balanced_accuracy,selected
liar2_finance,1,11,2,emotion_aware,31,1-2,1,0.1,0.05,0.6578498191670944,0.6581196581196581,False
liar2_finance,1,11,2,emotion_aware,32,1-2,1,0.1,0.1,0.611712349700706,0.6117216117216118,False
liar2_finance,1,11,2,emotion_aware,33,1-2,1,0.1,0.25,0.6068352622484745,0.6068376068376068,False
liar2_finance,1,11,2,emotion_aware,34,1-2,1,0.1,0.5,0.604336617158296,0.6043956043956045,False
liar2_finance,1,11,2,emotion_aware,35,1-2,1,0.1,1.0,0.5963145062997677,0.5964590964590964,False
liar2_finance,1,11,2,emotion_aware,36,1-2,1,1.0,0.05,0.6583724934567305,0.6587301587301587,False
liar2_finance,1,11,2,emotion_aware,37,1-2,1,1.0,0.1,0.6590717840986404,0.6593406593406593,True
liar2_finance,1,11,2,emotion_aware,38,1-2,1,1.0,0.25,0.65330020430645,0.6538461538461539,False
liar2_finance,1,11,2,emotion_aware,39,1-2,1,1.0,0.5,0.6477445658261214,0.6483516483516483,False
liar2_finance,1,11,2,emotion_aware,40,1-2,1,1.0,1.0,0.6459277483568566,0.6465201465201464,False
liar2_finance,1,11,2,emotion_aware,41,1-2,1,10.0,0.05,0.6420737518961512,0.6422466422466422,False
liar2_finance,1,11,2,emotion_aware,42,1-2,1,10.0,0.1,0.6413890075134409,0.6416361416361416,False
liar2_finance,1,11,2,emotion_aware,43,1-2,1,10.0,0.25,0.6444320780811515,0.6446886446886446,False
liar2_finance,1,11,2,emotion_aware,44,1-2,1,10.0,0.5,0.6426545660805445,0.6428571428571428,False
liar2_finance,1,11,2,emotion_aware,45,1-2,1,10.0,1.0,0.641432872289367,0.6416361416361416,False
liar2_finance,1,11,2,emotion_aware,46,1-2,2,0.1,0.05,0.6513665988880833,0.6514041514041514,False
liar2_finance,1,11,2,emotion_aware,47,1-2,2,0.1,0.1,0.6275924067881513,0.6275946275946276,False
liar2_finance,1,11,2,emotion_aware,48,1-2,2,0.1,0.25,0.6147739711961382,0.6147741147741148,False
