dataset,repetition,seed,model,parameter_index,ngram_range,min_df,C,affect_weight,inner_macro_f1,inner_balanced_accuracy,selected
liar2_finance,3,33,text_only,11,1-2,2,1.0,,0.645499360546125,0.6455078125,False
liar2_finance,3,33,text_only,12,1-2,2,10.0,,0.6401359465655134,0.64013671875,False
liar2_finance,3,33,emotion_aware,1,1-1,1,0.1,0.05,0.6455047698430334,0.6455078125,False
liar2_finance,3,33,emotion_aware,2,1-1,1,0.1,0.1,0.6459433351956599,0.64599609375,False
liar2_finance,3,33,emotion_aware,3,1-1,1,0.1,0.25,0.6322855562997647,0.63232421875,False
liar2_finance,3,33,emotion_aware,4,1-1,1,0.1,0.5,0.6200809555965039,0.6201171875,False
liar2_finance,3,33,emotion_aware,5,1-1,1,0.1,1.0,0.6154247558192388,0.61572265625,False
liar2_finance,3,33,emotion_aware,6,1-1,1,1.0,0.05,0.6489190012071366,0.64892578125,False
liar2_finance,3,33,emotion_aware,7,1-1,1,1.0,0.1,0.6528081086977515,0.65283203125,False
liar2_finance,3,33,emotion_aware,8,1-1,1,1.0,0.25,0.6474125169777343,0.6474609375,False
liar2_finance,3,33,emotion_aware,9,1-1,1,1.0,0.5,0.6498321315819408,0.64990234375,False
liar2_finance,3,33,emotion_aware,10,1-1,1,1.0,1.0,0.649822110902924,0.64990234375,False
liar2_finance,3,33,emotion_aware,11,1-1,1,10.0,0.05,0.6342765589926316,0.63427734375,False
liar2_finance,3,33,emotion_aware,12,1-1,1,10.0,0.1,0.6347624901413071,0.634765625,False
liar2_finance,3,33,emotion_aware,13,1-1,1,10.0,0.25,0.6367184035476718,0.63671875,False
liar2_finance,3,33,emotion_aware,14,1-1,1,10.0,0.5,0.6372069447533952,0.63720703125,False
liar2_finance,3,33,emotion_aware,15,1-1,1,10.0,1.0,0.6376949669789953,0.6376953125,False
liar2_finance,3,33,emotion_aware,16,1-1,2,0.1,0.05,0.6498835620406769,0.64990234375,False
liar2_finance,3,33,emotion_aware,17,1-1,2,0.1,0.1,0.643488048226788,0.6435546875,False
liar2_finance,3,33,emotion_aware,18,1-1,2,0.1,0.25,0.6347154608024174,0.634765625,False
liar2_finance,3,33,emotion_aware,19,1-1,2,0.1,0.5,0.6254488999759887,0.62548828125,False
liar2_finance,3,33,emotion_aware,20,1-1,2,0.1,1.0,0.6193928816044457,0.61962890625,False
liar2_finance,3,33,emotion_aware,21,1-1,2,1.0,0.05,0.6533150225070573,0.6533203125,False
liar2_finance,3,33,emotion_aware,22,1-1,2,1.0,0.1,0.6542569781249553,0.654296875,False
liar2_finance,3,33,emotion_aware,23,1-1,2,1.0,0.25,0.6513459073429775,0.6513671875,False
liar2_finance,3,33,emotion_aware,24,1-1,2,1.0,0.5,0.6508348683465375,0.65087890625,False
liar2_finance,3,33,emotion_aware,25,1-1,2,1.0,1.0,0.6508088899317819,0.65087890625,False
liar2_finance,3,33,emotion_aware,26,1-1,2,10.0,0.05,0.6298796357314316,0.6298828125,False
liar2_finance,3,33,emotion_aware,27,1-1,2,10.0,0.1,0.6323199233236891,0.63232421875,False
liar2_finance,3,33,emotion_aware,28,1-1,2,10.0,0.25,0.6352468621720877,0.63525390625,False
liar2_finance,3,33,emotion_aware,29,1-1,2,10.0,0.5,0.63621997418806,0.63623046875,False
liar2_finance,3,33,emotion_aware,30,1-1,2,10.0,1.0,0.63621997418806,0.63623046875,False
liar2_finance,3,33,emotion_aware,31,1-2,1,0.1,0.05,0.6490924624026957,0.6494140625,False
liar2_finance,3,33,emotion_aware,32,1-2,1,0.1,0.1,0.6234697125960547,0.62353515625,False
liar2_finance,3,33,emotion_aware,33,1-2,1,0.1,0.25,0.6137289177066585,0.61376953125,False
liar2_finance,3,33,emotion_aware,34,1-2,1,0.1,0.5,0.6096748331873905,0.60986328125,False
liar2_finance,3,33,emotion_aware,35,1-2,1,0.1,1.0,0.6008068720110604,0.60107421875,False
liar2_finance,3,33,emotion_aware,36,1-2,1,1.0,0.05,0.6603023475213714,0.66064453125,False
liar2_finance,3,33,emotion_aware,37,1-2,1,1.0,0.1,0.6626213314080747,0.6630859375,True
liar2_finance,3,33,emotion_aware,38,1-2,1,1.0,0.25,0.6514824640228745,0.65185546875,False
liar2_finance,3,33,emotion_aware,39,1-2,1,1.0,0.5,0.6509114243888745,0.6513671875,False
liar2_finance,3,33,emotion_aware,40,1-2,1,1.0,1.0,0.6494810662400523,0.64990234375,False
liar2_finance,3,33,emotion_aware,41,1-2,1,10.0,0.05,0.6583681256987807,0.65869140625,False
liar2_finance,3,33,emotion_aware,42,1-2,1,10.0,0.1,0.6598029378884893,0.66015625,False
liar2_finance,3,33,emotion_aware,43,1-2,1,10.0,0.25,0.6559547035533886,0.65625,False
liar2_finance,3,33,emotion_aware,44,1-2,1,10.0,0.5,0.6560282469701307,0.65625,False
liar2_finance,3,33,emotion_aware,45,1-2,1,10.0,1.0,0.6565082387071917,0.65673828125,False
liar2_finance,3,33,emotion_aware,46,1-2,2,0.1,0.05,0.6483620466809303,0.6484375,False
liar2_finance,3,33,emotion_aware,47,1-2,2,0.1,0.1,0.6372000248913803,0.63720703125,False
liar2_finance,3,33,emotion_aware,48,1-2,2,0.1,0.25,0.6235199868387642,0.62353515625,False
liar2_finance,3,33,emotion_aware,49,1-2,2,0.1,0.5,0.6171257917965065,0.6171875,False
liar2_finance,3,33,emotion_aware,50,1-2,2,0.1,1.0,0.6121415657334217,0.6123046875,False
liar2_finance,3,33,emotion_aware,51,1-2,2,1.0,0.05,0.6571938699598274,0.6572265625,False
liar2_finance,3,33,emotion_aware,52,1-2,2,1.0,0.1,0.6586229567305113,0.65869140625,False
liar2_finance,3,33,emotion_aware,53,1-2,2,1.0,0.25,0.6522787538869494,0.65234375,False
liar2_finance,3,33,emotion_aware,54,1-2,2,1.0,0.5,0.648845324601398,0.64892578125,False
liar2_finance,3,33,emotion_aware,55,1-2,2,1.0,1.0,0.649822110902924,0.64990234375,False
liar2_finance,3,33,emotion_aware,56,1-2,2,10.0,0.05,0.6391580054641095,0.63916015625,False
liar2_finance,3,33,emotion_aware,57,1-2,2,10.0,0.1,0.6401057429726631,0.64013671875,False
liar2_finance,3,33,emotion_aware,58,1-2,2,10.0,0.25,0.6405670698497816,0.640625,False
liar2_finance,3,33,emotion_aware,59,1-2,2,10.0,0.5,0.6420365030323016,0.64208984375,False
liar2_finance,3,33,emotion_aware,60,1-2,2,10.0,1.0,0.6425290338333817,0.642578125,False
liar2_finance,4,44,text_only,1,1-1,1,0.1,,0.6440408470681135,0.64404296875,False
liar2_finance,4,44,text_only,2,1-1,1,1.0,,0.6415892574436836,0.6416015625,False
liar2_finance,4,44,text_only,3,1-1,1,10.0,,0.6317853709158057,0.6318359375,False
liar2_finance,4,44,text_only,4,1-1,2,0.1,,0.6469725720817022,0.64697265625,False
liar2_finance,4,44,text_only,5,1-1,2,1.0,,0.6435206909838661,0.6435546875,False
liar2_finance,4,44,text_only,6,1-1,2,10.0,,0.628883598852469,0.62890625,False
liar2_finance,4,44,text_only,7,1-2,1,0.1,,0.6523405855492882,0.65283203125,False
liar2_finance,4,44,text_only,8,1-2,1,1.0,,0.6543697542980711,0.65478515625,False
liar2_finance,4,44,text_only,9,1-2,1,10.0,,0.6572047746177647,0.65771484375,True
liar2_finance,4,44,text_only,10,1-2,2,0.1,,0.6468695199875796,0.64697265625,False
liar2_finance,4,44,text_only,11,1-2,2,1.0,,0.652730606792765,0.65283203125,False
liar2_finance,4,44,text_only,12,1-2,2,10.0,,0.6497479400494459,0.64990234375,False
liar2_finance,4,44,emotion_aware,1,1-1,1,0.1,0.05,0.6538085112115172,0.65380859375,False
liar2_finance,4,44,emotion_aware,2,1-1,1,0.1,0.1,0.6430561089013045,0.64306640625,False
liar2_finance,4,44,emotion_aware,3,1-1,1,0.1,0.25,0.6342521426365905,0.63427734375,False
liar2_finance,4,44,emotion_aware,4,1-1,1,0.1,0.5,0.6297553459929499,0.6298828125,False
