dataset,repetition,outer_seed,outer_fold,model,train_rows,test_rows,classifier,representation,C,affect_weight,accuracy,balanced_accuracy,precision,recall,f1,macro_f1
liar2_finance,2,22,3,text_only,1638,410,logistic_regression,word_char,0.1,,0.6829268292682927,0.6829268292682927,0.6829268292682927,0.6829268292682927,0.6829268292682927,0.6829268292682927
liar2_finance,2,22,3,emotion_aware,1638,410,logistic_regression,word_char,0.1,0.05,0.7,0.7,0.6990291262135923,0.7024390243902439,0.7007299270072993,0.6999982153373905
liar2_finance,2,22,4,text_only,1638,410,logistic_regression,word_char,0.1,,0.6560975609756098,0.6560975609756097,0.6666666666666666,0.624390243902439,0.6448362720403022,0.6557514693534845
liar2_finance,2,22,4,emotion_aware,1638,410,logistic_regression,word_char,0.1,0.1,0.6292682926829268,0.6292682926829268,0.6358974358974359,0.6048780487804878,0.62,0.6290476190476191
liar2_finance,2,22,5,text_only,1640,408,logistic_regression,word,0.1,,0.6397058823529411,0.6397058823529411,0.6403940886699507,0.6372549019607843,0.6388206388206388,0.6397037179433267
liar2_finance,2,22,5,emotion_aware,1640,408,linear_svm,word,0.1,0.25,0.6568627450980392,0.6568627450980392,0.6666666666666666,0.6274509803921569,0.6464646464646465,0.6565656565656566
liar2_finance,3,33,1,text_only,1638,410,logistic_regression,word_char,0.1,,0.6731707317073171,0.673170731707317,0.6983240223463687,0.6097560975609756,0.6510416666666666,0.671851108562691
liar2_finance,3,33,1,emotion_aware,1638,410,linear_svm,word_char,0.1,0.25,0.6585365853658537,0.6585365853658536,0.6701570680628273,0.624390243902439,0.6464646464646465,0.6581379836096817
liar2_finance,3,33,2,text_only,1638,410,logistic_regression,word_char,1.0,,0.6926829268292682,0.6926829268292682,0.6854460093896714,0.7121951219512195,0.6985645933014354,0.69256587874027
liar2_finance,3,33,2,emotion_aware,1638,410,logistic_regression,word_char,0.1,0.05,0.6829268292682927,0.6829268292682926,0.6744186046511628,0.7073170731707317,0.6904761904761905,0.6827380952380953
liar2_finance,3,33,3,text_only,1638,410,logistic_regression,word_char,0.1,,0.6560975609756098,0.6560975609756097,0.6666666666666666,0.624390243902439,0.6448362720403022,0.6557514693534845
liar2_finance,3,33,3,emotion_aware,1638,410,logistic_regression,word_char,0.1,0.05,0.6609756097560976,0.6609756097560975,0.6813186813186813,0.6048780487804878,0.6408268733850129,0.6599053535516288
liar2_finance,3,33,4,text_only,1638,410,logistic_regression,word,1.0,,0.6121951219512195,0.6121951219512195,0.6138613861386139,0.6048780487804878,0.6093366093366094,0.6121743579370698
liar2_finance,3,33,4,emotion_aware,1638,410,linear_svm,word,0.1,0.05,0.6268292682926829,0.6268292682926829,0.6274509803921569,0.624390243902439,0.6259168704156479,0.6268270483465102
liar2_finance,3,33,5,text_only,1640,408,linear_svm,word_char,0.1,,0.6348039215686274,0.6348039215686274,0.6291079812206573,0.6568627450980392,0.6426858513189448,0.6346261336795225
liar2_finance,3,33,5,emotion_aware,1640,408,linear_svm,word_char,0.1,0.05,0.6348039215686274,0.6348039215686274,0.627906976744186,0.6617647058823529,0.6443914081145584,0.6345382733268006
liar2_finance,4,44,1,text_only,1638,410,logistic_regression,word_char,0.1,,0.6585365853658537,0.6585365853658537,0.6585365853658537,0.6585365853658537,0.6585365853658537,0.6585365853658537
liar2_finance,4,44,1,emotion_aware,1638,410,linear_svm,word_char,0.1,0.1,0.6902439024390243,0.6902439024390243,0.693069306930693,0.6829268292682927,0.687960687960688,0.6902273173459614
liar2_finance,4,44,2,text_only,1638,410,logistic_regression,word_char,0.1,,0.6609756097560976,0.6609756097560976,0.6601941747572816,0.6634146341463415,0.6618004866180048,0.6609735929422542
liar2_finance,4,44,2,emotion_aware,1638,410,linear_svm,word,0.1,0.05,0.6682926829268293,0.6682926829268292,0.6751269035532995,0.6487804878048781,0.6616915422885572,0.668166345306958
liar2_finance,4,44,3,text_only,1638,410,logistic_regression,word_char,0.1,,0.675609756097561,0.675609756097561,0.6782178217821783,0.6682926829268293,0.6732186732186732,0.6755923874567942
liar2_finance,4,44,3,emotion_aware,1638,410,logistic_regression,word_char,0.1,0.1,0.6463414634146342,0.6463414634146342,0.6515151515151515,0.6292682926829268,0.6401985111662531,0.6462383443121433
liar2_finance,4,44,4,text_only,1638,410,logistic_regression,word,0.1,,0.651219512195122,0.651219512195122,0.655,0.6390243902439025,0.6469135802469136,0.6511676334969507
liar2_finance,4,44,4,emotion_aware,1638,410,logistic_regression,word_char,0.1,0.1,0.6878048780487804,0.6878048780487804,0.6934673366834171,0.6731707317073171,0.6831683168316832,0.6877380045696877
liar2_finance,4,44,5,text_only,1640,408,logistic_regression,word,0.1,,0.6397058823529411,0.6397058823529411,0.6432160804020101,0.6274509803921569,0.6352357320099256,0.6396517643100474
