dataset,model,scope,subset,manipulation_category,repetitions,rows,misleading_recall_mean,misleading_recall_std,misleading_recall_min,misleading_recall_max,mean_probability_mean,mean_probability_std,median_probability_mean
factors_finance,text_only,subset_category,main,sentiment,10,153,0.4150326797385621,0.02672732929495707,0.3790849673202614,0.4444444444444444,0.4892075882988974,0.012145363167662529,0.4915135012788997
factors_finance,text_only,subset_non_sentiment,hard_case,non_sentiment,10,70,0.2757142857142857,0.053047704539556664,0.22857142857142856,0.37142857142857144,0.47843499125356576,0.023004171732851693,0.4789361270867885
factors_finance,text_only,subset_non_sentiment,main,non_sentiment,10,847,0.40472255017709563,0.021424225359907227,0.38488783943329397,0.4380165289256198,0.49061335768213,0.009592984630988248,0.49039581181980074
liar2_finance,emotion_aware,category,all,causal,10,231,0.3774891774891775,0.01753113136910528,0.3593073593073593,0.41125541125541126,0.44917288280291023,0.01607312954162774,0.44648475922197645
liar2_finance,emotion_aware,category,all,flipping,10,313,0.35015974440894565,0.042443808552146724,0.30990415335463256,0.3929712460063898,0.43716306512227077,0.03201290943904712,0.4219984215728636
liar2_finance,emotion_aware,category,all,numerical,10,373,0.26595174262734583,0.01830575532306612,0.24932975871313673,0.30831099195710454,0.41399726230105693,0.027547556493602958,0.40616112845111185
liar2_finance,emotion_aware,category,all,sentiment,10,206,0.3048543689320388,0.02364896557468624,0.2912621359223301,0.36893203883495146,0.4253149993072429,0.03125688538999989,0.42233448072484714
liar2_finance,emotion_aware,overall,all,all,10,1123,0.31950133570792516,0.016884041167078746,0.3089937666963491,0.36420302760463047,0.42976566696912677,0.027068967735723485,0.4190742527368262
liar2_finance,emotion_aware,overall_non_sentiment,all,non_sentiment,10,917,0.3227917121046892,0.01537927720923748,0.31297709923664124,0.36314067611777534,0.4307654898026579,0.02613359221034332,0.4183224786673262
liar2_finance,emotion_aware,subset,hard_case,all,10,123,0.24715447154471545,0.02998225839770044,0.22764227642276422,0.3252032520325203,0.39757172469247165,0.040328006258996865,0.3730472695358492
liar2_finance,emotion_aware,subset,main,all,10,1000,0.3284,0.015276707033185455,0.319,0.369,0.43372552186915525,0.025445162318992774,0.4236900697934499
liar2_finance,emotion_aware,subset_category,hard_case,causal,10,43,0.39069767441860465,0.021370618220294908,0.37209302325581395,0.4418604651162791,0.44562878951113083,0.01881766639225297,0.4406739926194012
liar2_finance,emotion_aware,subset_category,hard_case,flipping,10,7,0.3571428571428571,0.07529232524210426,0.2857142857142857,0.42857142857142855,0.4406364505048045,0.043770260425508606,0.4678638257835903
liar2_finance,emotion_aware,subset_category,hard_case,numerical,10,20,0.005,0.015811388300841896,0.0,0.05,0.2843364186417078,0.07076731088232315,0.2882878915684596
liar2_finance,emotion_aware,subset_category,hard_case,sentiment,10,53,0.20754716981132076,0.04871677165040777,0.16981132075471697,0.32075471698113206,0.39562454078919995,0.04590764804656182,0.3784590220505123
liar2_finance,emotion_aware,subset_category,main,causal,10,188,0.37446808510638296,0.016857963580148537,0.35638297872340424,0.40425531914893614,0.4499834998856045,0.015510032597296164,0.4448218840520027
liar2_finance,emotion_aware,subset_category,main,flipping,10,306,0.35,0.041692823606596506,0.3104575163398693,0.39215686274509803,0.4370836085939122,0.03174942137341982,0.42120796175875286
liar2_finance,emotion_aware,subset_category,main,numerical,10,353,0.28073654390934843,0.018621858035635565,0.26345609065155806,0.32294617563739375,0.42134348573784725,0.025100012235455972,0.4134939194025463
liar2_finance,emotion_aware,subset_category,main,sentiment,10,153,0.338562091503268,0.016534785151207224,0.3333333333333333,0.38562091503267976,0.43559992938212055,0.02619843834817677,0.4303319770246329
liar2_finance,emotion_aware,subset_non_sentiment,hard_case,non_sentiment,10,70,0.27714285714285714,0.018070158058105034,0.2714285714285714,0.32857142857142857,0.3990460210763773,0.03612021860576306,0.3664094856605128
liar2_finance,emotion_aware,subset_non_sentiment,main,non_sentiment,10,847,0.3265643447461629,0.01528458307691359,0.31641086186540734,0.3659976387249115,0.43338693349904467,0.025310512694189394,0.421320225076944
liar2_finance,text_only,category,all,causal,10,231,0.5077922077922078,0.012252773284475466,0.49783549783549785,0.5281385281385281,0.5013086920144841,0.007884367742623126,0.5007374053033219
liar2_finance,text_only,category,all,flipping,10,313,0.3846645367412141,0.04016476955509492,0.3610223642172524,0.46006389776357826,0.4607962262128888,0.025861765881694667,0.4488207503146137
liar2_finance,text_only,category,all,numerical,10,373,0.37533512064343166,0.029773603662122766,0.35924932975871315,0.4316353887399464,0.45778278741240125,0.022863027905161013,0.4562091286629252
liar2_finance,text_only,category,all,sentiment,10,206,0.4014563106796117,0.04577028957795405,0.3592233009708738,0.46116504854368934,0.46291088615970033,0.024865251718346963,0.4629293317239947
liar2_finance,text_only,overall,all,all,10,1123,0.409973285841496,0.03051142649757829,0.38824577025823687,0.46482635796972394,0.46851660633455383,0.020775956750212893,0.4631453190683542
liar2_finance,text_only,overall_non_sentiment,all,non_sentiment,10,917,0.41188658669574696,0.028687136385624597,0.39476553980370777,0.46564885496183206,0.4697759066137467,0.01987682191636716,0.46309853067992773
liar2_finance,text_only,subset,hard_case,all,10,123,0.32113821138211385,0.02999450355173262,0.2926829268292683,0.34959349593495936,0.4349051902122178,0.03565624607255243,0.43316755393570244
liar2_finance,text_only,subset,main,all,10,1000,0.42089999999999994,0.031589203500211535,0.4,0.479,0.47265081051760116,0.018977976980636937,0.4662974030743727
