dataset,repetition,outer_seed,outer_fold,model,candidate_index,classifier,representation,C,affect_weight,inner_macro_f1,inner_balanced_accuracy,selected
liar2_finance,1,11,2,emotion_aware,10,logistic_regression,word,1.0,1.0,0.6513354072577413,0.6514041514041513,False
liar2_finance,1,11,2,emotion_aware,11,logistic_regression,word,10.0,0.05,0.6342870987280436,0.6343101343101343,False
liar2_finance,1,11,2,emotion_aware,12,logistic_regression,word,10.0,0.1,0.6397783251231528,0.6398046398046398,False
liar2_finance,1,11,2,emotion_aware,13,logistic_regression,word,10.0,0.25,0.6416135675348273,0.6416361416361416,False
liar2_finance,1,11,2,emotion_aware,14,logistic_regression,word,10.0,0.5,0.6428410356912964,0.6428571428571428,False
liar2_finance,1,11,2,emotion_aware,15,logistic_regression,word,10.0,1.0,0.6428410356912964,0.6428571428571428,False
liar2_finance,1,11,2,emotion_aware,16,logistic_regression,word_char,0.1,0.05,0.648914910930587,0.6489621489621489,False
liar2_finance,1,11,2,emotion_aware,17,logistic_regression,word_char,0.1,0.1,0.6464978800726833,0.6465201465201464,False
liar2_finance,1,11,2,emotion_aware,18,logistic_regression,word_char,0.1,0.25,0.6330660205935796,0.6330891330891331,False
liar2_finance,1,11,2,emotion_aware,19,logistic_regression,word_char,0.1,0.5,0.6316801998750781,0.6318681318681318,False
liar2_finance,1,11,2,emotion_aware,20,logistic_regression,word_char,0.1,1.0,0.6194423840481696,0.6196581196581197,False
liar2_finance,1,11,2,emotion_aware,21,logistic_regression,word_char,1.0,0.05,0.6544545938394977,0.6544566544566545,False
liar2_finance,1,11,2,emotion_aware,22,logistic_regression,word_char,1.0,0.1,0.6519627650929456,0.6520146520146519,False
liar2_finance,1,11,2,emotion_aware,23,logistic_regression,word_char,1.0,0.25,0.6513749157136579,0.6514041514041514,False
liar2_finance,1,11,2,emotion_aware,24,logistic_regression,word_char,1.0,0.5,0.645890640724589,0.6459096459096458,False
liar2_finance,1,11,2,emotion_aware,25,logistic_regression,word_char,1.0,1.0,0.6471117074807111,0.647130647130647,False
liar2_finance,1,11,2,emotion_aware,26,logistic_regression,word_char,10.0,0.05,0.6318614086123903,0.6318681318681318,False
liar2_finance,1,11,2,emotion_aware,27,logistic_regression,word_char,10.0,0.1,0.6367455026938179,0.6367521367521367,False
liar2_finance,1,11,2,emotion_aware,28,logistic_regression,word_char,10.0,0.25,0.6379341386000585,0.6379731379731379,False
liar2_finance,1,11,2,emotion_aware,29,logistic_regression,word_char,10.0,0.5,0.6385399892646269,0.6385836385836385,False
liar2_finance,1,11,2,emotion_aware,30,logistic_regression,word_char,10.0,1.0,0.6379341386000585,0.6379731379731379,False
liar2_finance,1,11,2,emotion_aware,31,linear_svm,word,0.1,0.05,0.6544314102028889,0.6544566544566545,False
liar2_finance,1,11,2,emotion_aware,32,linear_svm,word,0.1,0.1,0.6550104506704868,0.6550671550671551,False
liar2_finance,1,11,2,emotion_aware,33,linear_svm,word,0.1,0.25,0.6483091787439614,0.6483516483516483,False
liar2_finance,1,11,2,emotion_aware,34,linear_svm,word,0.1,0.5,0.6512948497932483,0.6514041514041513,False
liar2_finance,1,11,2,emotion_aware,35,linear_svm,word,0.1,1.0,0.6512948497932483,0.6514041514041513,False
liar2_finance,1,11,2,emotion_aware,36,linear_svm,word,1.0,0.05,0.6299919484702093,0.63003663003663,False
liar2_finance,1,11,2,emotion_aware,37,linear_svm,word,1.0,0.1,0.6336450158873113,0.6336996336996337,False
liar2_finance,1,11,2,emotion_aware,38,linear_svm,word,1.0,0.25,0.6360873824480624,0.6361416361416361,False
liar2_finance,1,11,2,emotion_aware,39,linear_svm,word,1.0,0.5,0.6373188405797101,0.6373626373626373,False
liar2_finance,1,11,2,emotion_aware,40,linear_svm,word,1.0,1.0,0.6367032556586074,0.6367521367521367,False
liar2_finance,1,11,2,emotion_aware,41,linear_svm,word,10.0,0.05,0.6104913193538528,0.6105006105006106,False
liar2_finance,1,11,2,emotion_aware,42,linear_svm,word,10.0,0.1,0.6111098066182513,0.6111111111111112,False
liar2_finance,1,11,2,emotion_aware,43,linear_svm,word,10.0,0.25,0.6135518172517318,0.6135531135531136,False
liar2_finance,1,11,2,emotion_aware,44,linear_svm,word,10.0,0.5,0.6141613132624781,0.6141636141636142,False
liar2_finance,1,11,2,emotion_aware,45,linear_svm,word,10.0,1.0,0.6141613132624781,0.6141636141636142,False
liar2_finance,1,11,2,emotion_aware,46,linear_svm,word_char,0.1,0.05,0.6568940532417347,0.6568986568986569,True
liar2_finance,1,11,2,emotion_aware,47,linear_svm,word_char,0.1,0.1,0.6501016433301434,0.6501831501831501,False
liar2_finance,1,11,2,emotion_aware,48,linear_svm,word_char,0.1,0.25,0.6489044409478406,0.6489621489621489,False
liar2_finance,1,11,2,emotion_aware,49,linear_svm,word_char,0.1,0.5,0.6464620370587821,0.6465201465201464,False
liar2_finance,1,11,2,emotion_aware,50,linear_svm,word_char,0.1,1.0,0.6464725798761911,0.6465201465201464,False
liar2_finance,1,11,2,emotion_aware,51,linear_svm,word_char,1.0,0.05,0.6245307892803591,0.6245421245421245,False
liar2_finance,1,11,2,emotion_aware,52,linear_svm,word_char,1.0,0.1,0.6281817080557238,0.6282051282051282,False
liar2_finance,1,11,2,emotion_aware,53,linear_svm,word_char,1.0,0.25,0.6330725853854173,0.6330891330891331,False
liar2_finance,1,11,2,emotion_aware,54,linear_svm,word_char,1.0,0.5,0.6336859807733595,0.6336996336996337,False
liar2_finance,1,11,2,emotion_aware,55,linear_svm,word_char,1.0,1.0,0.6336859807733595,0.6336996336996337,False
liar2_finance,1,11,2,emotion_aware,56,linear_svm,word_char,10.0,0.05,0.6141544103944122,0.6141636141636142,False
liar2_finance,1,11,2,emotion_aware,57,linear_svm,word_char,10.0,0.1,0.6117210328582503,0.6117216117216118,False
liar2_finance,1,11,2,emotion_aware,58,linear_svm,word_char,10.0,0.25,0.618436976224384,0.6184371184371185,False
liar2_finance,1,11,2,emotion_aware,59,linear_svm,word_char,10.0,0.5,0.618436976224384,0.6184371184371185,False
liar2_finance,1,11,2,emotion_aware,60,linear_svm,word_char,10.0,1.0,0.618436976224384,0.6184371184371185,False
liar2_finance,1,11,3,text_only,1,logistic_regression,word,0.1,,0.6391455867130034,0.6391941391941391,False
