dataset,repetition,seed,fold,classifier,representation,C,affect_weight,model_variant,accuracy,balanced_accuracy,precision,recall,f1,macro_f1
liar2_finance,1,11,1,linear_svm,word,10.0,0.25,emotion_aware,0.624390243902439,0.624390243902439,0.6164383561643836,0.6585365853658537,0.6367924528301887,0.6239517819706499
liar2_finance,1,11,1,linear_svm,word,10.0,0.5,emotion_aware,0.6219512195121951,0.6219512195121951,0.6136363636363636,0.6585365853658537,0.6352941176470588,0.6214445271779598
liar2_finance,1,11,1,linear_svm,word,10.0,1.0,emotion_aware,0.6219512195121951,0.6219512195121951,0.6136363636363636,0.6585365853658537,0.6352941176470588,0.6214445271779598
liar2_finance,1,11,1,linear_svm,word_char,0.1,0.0,text_only,0.6634146341463415,0.6634146341463415,0.6572769953051644,0.6829268292682927,0.6698564593301436,0.6632864386202957
liar2_finance,1,11,1,linear_svm,word_char,0.1,0.05,emotion_aware,0.6902439024390243,0.6902439024390243,0.6893203883495146,0.6926829268292682,0.6909975669099757,0.6902420597386064
liar2_finance,1,11,1,linear_svm,word_char,0.1,0.1,emotion_aware,0.7048780487804878,0.7048780487804878,0.7038834951456311,0.7073170731707317,0.7055961070559611,0.7048762931367825
liar2_finance,1,11,1,linear_svm,word_char,0.1,0.25,emotion_aware,0.6951219512195121,0.6951219512195121,0.6923076923076923,0.7024390243902439,0.6973365617433414,0.695105627309017
liar2_finance,1,11,1,linear_svm,word_char,0.1,0.5,emotion_aware,0.6902439024390243,0.6902439024390243,0.6857142857142857,0.7024390243902439,0.6939759036144578,0.6901978283504389
liar2_finance,1,11,1,linear_svm,word_char,0.1,1.0,emotion_aware,0.6902439024390243,0.6902439024390243,0.6857142857142857,0.7024390243902439,0.6939759036144578,0.6901978283504389
liar2_finance,1,11,1,linear_svm,word_char,1.0,0.0,text_only,0.6609756097560976,0.6609756097560976,0.6601941747572816,0.6634146341463415,0.6618004866180048,0.6609735929422542
liar2_finance,1,11,1,linear_svm,word_char,1.0,0.05,emotion_aware,0.6658536585365854,0.6658536585365854,0.6634615384615384,0.6731707317073171,0.6682808716707022,0.6658357675306827
liar2_finance,1,11,1,linear_svm,word_char,1.0,0.1,emotion_aware,0.6585365853658537,0.6585365853658537,0.6555023923444976,0.6682926829268293,0.6618357487922706,0.658504081292687
