dataset,repetition,outer_seed,outer_fold,model,parameter_index,ngram_range,min_df,C,inner_macro_f1,inner_balanced_accuracy,selected
liar2_finance,1,11,4,text_only,8,1-2,1,1.0,0.6528298732643061,0.6532356532356532,True
liar2_finance,1,11,4,text_only,9,1-2,1,10.0,0.6473435449524798,0.6477411477411478,False
liar2_finance,1,11,4,text_only,10,1-2,2,0.1,0.6434591387188873,0.6434676434676434,False
liar2_finance,1,11,4,text_only,11,1-2,2,1.0,0.6470969752362095,0.647130647130647,False
liar2_finance,1,11,4,text_only,12,1-2,2,10.0,0.644612349522902,0.6446886446886446,False
liar2_finance,1,11,4,emotion_aware,1,1-1,1,0.1,0.6066258949880668,0.6068376068376069,False
liar2_finance,1,11,4,emotion_aware,2,1-1,1,1.0,0.6573527147059515,0.6575091575091575,True
liar2_finance,1,11,4,emotion_aware,3,1-1,1,10.0,0.6287957061388796,0.6288156288156288,False
liar2_finance,1,11,4,emotion_aware,4,1-1,2,0.1,0.6102443609022556,0.6105006105006106,False
liar2_finance,1,11,4,emotion_aware,5,1-1,2,1.0,0.6556037201562144,0.6556776556776557,False
liar2_finance,1,11,4,emotion_aware,6,1-1,2,10.0,0.6373604748068227,0.6373626373626373,False
liar2_finance,1,11,4,emotion_aware,7,1-2,1,0.1,0.6017612393110763,0.601953601953602,False
liar2_finance,1,11,4,emotion_aware,8,1-2,1,1.0,0.6531945632622518,0.6538461538461539,False
liar2_finance,1,11,4,emotion_aware,9,1-2,1,10.0,0.6470780652598223,0.6477411477411477,False
liar2_finance,1,11,4,emotion_aware,10,1-2,2,0.1,0.6047337101553598,0.6050061050061051,False
liar2_finance,1,11,4,emotion_aware,11,1-2,2,1.0,0.6529122446786921,0.6532356532356532,False
liar2_finance,1,11,4,emotion_aware,12,1-2,2,10.0,0.6543247253935467,0.6544566544566545,False
liar2_finance,1,11,5,text_only,1,1-1,1,0.1,0.6451087562744005,0.6451219512195122,False
liar2_finance,1,11,5,text_only,2,1-1,1,1.0,0.6511676334969507,0.651219512195122,False
liar2_finance,1,11,5,text_only,3,1-1,1,10.0,0.631037064004025,0.6310975609756098,False
liar2_finance,1,11,5,text_only,4,1-1,2,0.1,0.6444739935247354,0.6445121951219512,False
liar2_finance,1,11,5,text_only,5,1-1,2,1.0,0.6438891987358245,0.6439024390243903,False
liar2_finance,1,11,5,text_only,6,1-1,2,10.0,0.6162680960081184,0.6164634146341463,False
liar2_finance,1,11,5,text_only,7,1-2,1,0.1,0.6413092480259956,0.6414634146341464,False
liar2_finance,1,11,5,text_only,8,1-2,1,1.0,0.6582677329427822,0.6585365853658537,False
liar2_finance,1,11,5,text_only,9,1-2,1,10.0,0.6629328948720583,0.6634146341463414,True
liar2_finance,1,11,5,text_only,10,1-2,2,0.1,0.6396039972112479,0.6396341463414634,False
liar2_finance,1,11,5,text_only,11,1-2,2,1.0,0.6542393678828724,0.6542682926829269,False
liar2_finance,1,11,5,text_only,12,1-2,2,10.0,0.6382304943287984,0.6384146341463415,False
liar2_finance,1,11,5,emotion_aware,1,1-1,1,0.1,0.6094999843740466,0.6097560975609756,False
liar2_finance,1,11,5,emotion_aware,2,1-1,1,1.0,0.649866695231974,0.65,False
liar2_finance,1,11,5,emotion_aware,3,1-1,1,10.0,0.6487052551408987,0.6487804878048781,False
liar2_finance,1,11,5,emotion_aware,4,1-1,2,0.1,0.61316092202054,0.6134146341463415,False
liar2_finance,1,11,5,emotion_aware,5,1-1,2,1.0,0.6548159320758197,0.6548780487804878,False
liar2_finance,1,11,5,emotion_aware,6,1-1,2,10.0,0.6249262291698509,0.625,False
liar2_finance,1,11,5,emotion_aware,7,1-2,1,0.1,0.5996850585901163,0.6,False
liar2_finance,1,11,5,emotion_aware,8,1-2,1,1.0,0.6472230765646116,0.6481707317073171,False
liar2_finance,1,11,5,emotion_aware,9,1-2,1,10.0,0.6685296334552358,0.6689024390243903,True
liar2_finance,1,11,5,emotion_aware,10,1-2,2,0.1,0.6045669481195051,0.6048780487804878,False
