dataset,repetition,seed,model,classifier,representation,C,affect_weight,scope,subset,manipulation_category,rows,detected_misleading,missed_misleading,misleading_recall
liar2_finance,3,33,emotion_aware,logistic_regression,word_char,0.1,0.05,subset_category,main,causal,188,74,114,0.39361702127659576
liar2_finance,3,33,emotion_aware,logistic_regression,word_char,0.1,0.05,subset_category,main,flipping,306,180,126,0.5882352941176471
liar2_finance,3,33,emotion_aware,logistic_regression,word_char,0.1,0.05,subset_category,main,numerical,353,104,249,0.29461756373937675
liar2_finance,3,33,emotion_aware,logistic_regression,word_char,0.1,0.05,subset_category,main,sentiment,153,61,92,0.39869281045751637
liar2_finance,4,44,text_only,linear_svm,word_char,0.1,,overall,all,all,1123,541,582,0.4817453250222618
liar2_finance,4,44,text_only,linear_svm,word_char,0.1,,overall_non_sentiment,all,non_sentiment,917,449,468,0.48964013086150493
liar2_finance,4,44,text_only,linear_svm,word_char,0.1,,subset,hard_case,all,123,44,79,0.35772357723577236
liar2_finance,4,44,text_only,linear_svm,word_char,0.1,,subset_non_sentiment,hard_case,non_sentiment,70,27,43,0.38571428571428573
liar2_finance,4,44,text_only,linear_svm,word_char,0.1,,subset,main,all,1000,497,503,0.497
liar2_finance,4,44,text_only,linear_svm,word_char,0.1,,subset_non_sentiment,main,non_sentiment,847,422,425,0.4982290436835891
liar2_finance,4,44,text_only,linear_svm,word_char,0.1,,category,all,causal,231,126,105,0.5454545454545454
liar2_finance,4,44,text_only,linear_svm,word_char,0.1,,category,all,flipping,313,145,168,0.46325878594249204
liar2_finance,4,44,text_only,linear_svm,word_char,0.1,,category,all,numerical,373,178,195,0.4772117962466488
liar2_finance,4,44,text_only,linear_svm,word_char,0.1,,category,all,sentiment,206,92,114,0.44660194174757284
liar2_finance,4,44,text_only,linear_svm,word_char,0.1,,subset_category,hard_case,causal,43,20,23,0.46511627906976744
liar2_finance,4,44,text_only,linear_svm,word_char,0.1,,subset_category,hard_case,flipping,7,3,4,0.42857142857142855
liar2_finance,4,44,text_only,linear_svm,word_char,0.1,,subset_category,hard_case,numerical,20,4,16,0.2
liar2_finance,4,44,text_only,linear_svm,word_char,0.1,,subset_category,hard_case,sentiment,53,17,36,0.32075471698113206
liar2_finance,4,44,text_only,linear_svm,word_char,0.1,,subset_category,main,causal,188,106,82,0.5638297872340425
liar2_finance,4,44,text_only,linear_svm,word_char,0.1,,subset_category,main,flipping,306,142,164,0.46405228758169936
liar2_finance,4,44,text_only,linear_svm,word_char,0.1,,subset_category,main,numerical,353,174,179,0.49291784702549574
liar2_finance,4,44,text_only,linear_svm,word_char,0.1,,subset_category,main,sentiment,153,75,78,0.49019607843137253
liar2_finance,4,44,emotion_aware,logistic_regression,word_char,0.1,0.05,overall,all,all,1123,452,671,0.402493321460374
liar2_finance,4,44,emotion_aware,logistic_regression,word_char,0.1,0.05,overall_non_sentiment,all,non_sentiment,917,374,543,0.4078516902944384
liar2_finance,4,44,emotion_aware,logistic_regression,word_char,0.1,0.05,subset,hard_case,all,123,33,90,0.2682926829268293
liar2_finance,4,44,emotion_aware,logistic_regression,word_char,0.1,0.05,subset_non_sentiment,hard_case,non_sentiment,70,16,54,0.22857142857142856
liar2_finance,4,44,emotion_aware,logistic_regression,word_char,0.1,0.05,subset,main,all,1000,419,581,0.419
liar2_finance,4,44,emotion_aware,logistic_regression,word_char,0.1,0.05,subset_non_sentiment,main,non_sentiment,847,358,489,0.42266824085005905
liar2_finance,4,44,emotion_aware,logistic_regression,word_char,0.1,0.05,category,all,causal,231,86,145,0.3722943722943723
liar2_finance,4,44,emotion_aware,logistic_regression,word_char,0.1,0.05,category,all,flipping,313,184,129,0.5878594249201278
liar2_finance,4,44,emotion_aware,logistic_regression,word_char,0.1,0.05,category,all,numerical,373,104,269,0.27882037533512066
liar2_finance,4,44,emotion_aware,logistic_regression,word_char,0.1,0.05,category,all,sentiment,206,78,128,0.3786407766990291
liar2_finance,4,44,emotion_aware,logistic_regression,word_char,0.1,0.05,subset_category,hard_case,causal,43,12,31,0.27906976744186046
liar2_finance,4,44,emotion_aware,logistic_regression,word_char,0.1,0.05,subset_category,hard_case,flipping,7,4,3,0.5714285714285714
liar2_finance,4,44,emotion_aware,logistic_regression,word_char,0.1,0.05,subset_category,hard_case,numerical,20,0,20,0.0
liar2_finance,4,44,emotion_aware,logistic_regression,word_char,0.1,0.05,subset_category,hard_case,sentiment,53,17,36,0.32075471698113206
liar2_finance,4,44,emotion_aware,logistic_regression,word_char,0.1,0.05,subset_category,main,causal,188,74,114,0.39361702127659576
liar2_finance,4,44,emotion_aware,logistic_regression,word_char,0.1,0.05,subset_category,main,flipping,306,180,126,0.5882352941176471
liar2_finance,4,44,emotion_aware,logistic_regression,word_char,0.1,0.05,subset_category,main,numerical,353,104,249,0.29461756373937675
liar2_finance,4,44,emotion_aware,logistic_regression,word_char,0.1,0.05,subset_category,main,sentiment,153,61,92,0.39869281045751637
liar2_finance,5,55,text_only,linear_svm,word_char,0.1,,overall,all,all,1123,541,582,0.4817453250222618
liar2_finance,5,55,text_only,linear_svm,word_char,0.1,,overall_non_sentiment,all,non_sentiment,917,449,468,0.48964013086150493
liar2_finance,5,55,text_only,linear_svm,word_char,0.1,,subset,hard_case,all,123,44,79,0.35772357723577236
liar2_finance,5,55,text_only,linear_svm,word_char,0.1,,subset_non_sentiment,hard_case,non_sentiment,70,27,43,0.38571428571428573
liar2_finance,5,55,text_only,linear_svm,word_char,0.1,,subset,main,all,1000,497,503,0.497
liar2_finance,5,55,text_only,linear_svm,word_char,0.1,,subset_non_sentiment,main,non_sentiment,847,422,425,0.4982290436835891
liar2_finance,5,55,text_only,linear_svm,word_char,0.1,,category,all,causal,231,126,105,0.5454545454545454
liar2_finance,5,55,text_only,linear_svm,word_char,0.1,,category,all,flipping,313,145,168,0.46325878594249204
