dataset,repetition,seed,model,best_epoch,epoch,train_loss,validation_loss,validation_macro_f1,validation_balanced_accuracy
factors_finance,2,22,text_only,3,4,0.3825701664081601,0.7550153182103083,0.5744047619047619,0.5769230769230769
factors_finance,2,22,text_only,3,5,0.3062108218955081,0.7730399645291842,0.5495291902071563,0.5576923076923077
factors_finance,2,22,emotion_aware,5,1,0.714537710664375,0.6790827971238357,0.5438596491228069,0.5769230769230769
factors_finance,2,22,emotion_aware,5,2,0.6109701454924624,0.6652489992288443,0.5744047619047619,0.5769230769230769
factors_finance,2,22,emotion_aware,5,3,0.4895710323415875,0.6578696645223178,0.5762962962962963,0.5769230769230769
factors_finance,2,22,emotion_aware,5,4,0.3963068168984646,0.6654145029874948,0.6148148148148148,0.6153846153846154
factors_finance,2,22,emotion_aware,5,5,0.3238481726657831,0.6731310899441059,0.6312056737588652,0.6346153846153846
factors_finance,3,33,text_only,2,1,0.718926561506171,0.7113641041975755,0.553125,0.5769230769230769
factors_finance,3,33,text_only,2,2,0.5783300819009115,0.7500717318975009,0.5562152133580704,0.5576923076923077
factors_finance,3,33,text_only,2,3,0.4456148495514427,0.8287380108466516,0.5190529041805401,0.5192307692307692
factors_finance,3,33,text_only,2,4,0.3234960337004593,0.9064216613769531,0.5,0.5
factors_finance,3,33,emotion_aware,1,1,0.7127700952821941,0.6824329082782452,0.606060606060606,0.6153846153846154
factors_finance,3,33,emotion_aware,1,2,0.6040222975625946,0.7127132278222305,0.5744047619047619,0.5769230769230769
factors_finance,3,33,emotion_aware,1,3,0.48121855133458186,0.7696890372496384,0.5762962962962963,0.5769230769230769
factors_finance,4,44,text_only,2,1,0.7279883474824531,0.6844768615869375,0.5887005649717514,0.5961538461538461
factors_finance,4,44,text_only,2,2,0.5961167099373192,0.6656355055478903,0.6153846153846154,0.6153846153846154
factors_finance,4,44,text_only,2,3,0.49733125935330913,0.696727977349208,0.6148148148148148,0.6153846153846154
factors_finance,4,44,text_only,2,4,0.3965818094864987,0.742082050213447,0.6130952380952381,0.6153846153846154
factors_finance,4,44,emotion_aware,3,1,0.7139438270952143,0.6830461208636944,0.5769230769230769,0.5769230769230769
factors_finance,4,44,emotion_aware,3,2,0.6070653414041802,0.6849455099839431,0.5769230769230769,0.5769230769230769
factors_finance,4,44,emotion_aware,3,3,0.49301639926490604,0.7076982672397907,0.6312056737588652,0.6346153846153846
factors_finance,4,44,emotion_aware,3,4,0.410351748957018,0.7451376823278574,0.6148148148148148,0.6153846153846154
factors_finance,4,44,emotion_aware,3,5,0.3473350175402381,0.7478802754328802,0.6148148148148148,0.6153846153846154
factors_finance,5,55,text_only,2,1,0.6912955986826044,0.712236395249,0.5712143928035982,0.5769230769230769
factors_finance,5,55,text_only,2,2,0.5752914342583652,0.7113106204913213,0.5923852183650615,0.5961538461538461
factors_finance,5,55,text_only,2,3,0.44875607521910416,0.7467673925253061,0.5384615384615384,0.5384615384615384
factors_finance,5,55,text_only,2,4,0.3442339481491792,0.7975020592029278,0.5190529041805401,0.5192307692307692
factors_finance,5,55,emotion_aware,1,1,0.7028654702542502,0.6967684718278738,0.5744047619047619,0.5769230769230769
factors_finance,5,55,emotion_aware,1,2,0.569809698887419,0.7156192064285278,0.5562152133580704,0.5576923076923077
factors_finance,5,55,emotion_aware,1,3,0.45502977622182744,0.75868781713339,0.5535647629712579,0.5576923076923077
factors_finance,6,66,text_only,1,1,0.7097426761280407,0.6682898493913504,0.5887005649717514,0.5961538461538461
factors_finance,6,66,text_only,1,2,0.6124395488551929,0.6954685357900766,0.5836828059473884,0.5961538461538461
factors_finance,6,66,text_only,1,3,0.5144423120900204,0.7079558968544006,0.5606758832565284,0.576923076923077
factors_finance,6,66,emotion_aware,1,1,0.7132289135855351,0.669359436401954,0.6517857142857143,0.6538461538461537
factors_finance,6,66,emotion_aware,1,2,0.5872219204189675,0.7346960260317876,0.5772357723577235,0.5961538461538461
factors_finance,6,66,emotion_aware,1,3,0.48946243667146233,0.7178209974215581,0.5948051948051948,0.5961538461538461
factors_finance,7,77,text_only,1,1,0.7094575526041277,0.6349419813889724,0.6538461538461539,0.6538461538461539
factors_finance,7,77,text_only,1,2,0.6002404299078946,0.6423358367039607,0.6517857142857143,0.6538461538461537
factors_finance,7,77,text_only,1,3,0.5023453760375246,0.6366001275869516,0.5923852183650615,0.5961538461538461
factors_finance,7,77,emotion_aware,2,1,0.7263980690372047,0.6603725781807532,0.5923852183650615,0.5961538461538461
factors_finance,7,77,emotion_aware,2,2,0.6030682761703382,0.6610064873328576,0.6533333333333333,0.6538461538461539
factors_finance,7,77,emotion_aware,2,3,0.4976775848694395,0.6683440621082599,0.5762962962962963,0.5769230769230769
factors_finance,7,77,emotion_aware,2,4,0.3927608779742957,0.7058768914296076,0.5948051948051948,0.5961538461538461
factors_finance,8,88,text_only,4,1,0.7041236330447584,0.6593467593193054,0.5147443075774543,0.5192307692307693
